Lambda,QCCALBOA,QCCALBOA,QCTLIMOA,QCTLIMOA,QCCALB,QCTLIM
434,-0.015,,-0.014,-0.015,0.003,0.002
436,-0.015,,-0.015,-0.015,0.001,0.001
438,-0.016,,-0.016,-0.016,-0.001,-0.001
440,-0.016,,-0.015,-0.016,-0.002,-0.002
442,-0.016,,-0.015,-0.016,-0.003,-0.003
444,-0.016,,-0.016,-0.016,-0.004,-0.004
446,-0.016,,-0.016,-0.017,-0.005,-0.005
448,-0.016,,-0.016,-0.017,-0.006,-0.005
450,-0.017,,-0.016,-0.017,-0.007,-0.005
452,-0.016,,-0.016,-0.016,-0.007,-0.006
454,-0.016,,-0.017,-0.017,-0.008,-0.007
456,-0.017,,-0.016,-0.017,-0.009,-0.008
458,-0.017,,-0.017,-0.017,-0.009,-0.007
460,-0.017,-0.017,-0.017,-0.017,-0.01,-0.008
462,-0.018,-0.018,-0.017,-0.018,-0.01,-0.008
464,-0.017,-0.018,-0.017,-0.017,-0.011,-0.009
466,-0.017,-0.018,-0.017,-0.018,-0.012,-0.009
468,-0.017,-0.018,-0.017,-0.017,-0.011,-0.01
470,-0.017,-0.018,-0.017,-0.017,-0.011,-0.01
472,-0.017,-0.018,-0.017,-0.017,-0.011,-0.01
474,-0.017,-0.018,-0.017,-0.017,-0.01,-0.01
476,-0.017,-0.018,-0.017,-0.017,-0.011,-0.01
478,-0.017,-0.018,-0.018,-0.017,-0.012,-0.01
480,-0.018,-0.018,-0.017,-0.017,-0.012,-0.01
482,-0.018,-0.018,-0.017,-0.017,-0.012,-0.01
484,-0.017,-0.018,-0.017,-0.017,-0.012,-0.011
486,-0.017,-0.018,-0.018,-0.018,-0.012,-0.012
488,-0.017,-0.018,-0.017,-0.017,-0.012,-0.011
490,-0.018,-0.018,-0.017,-0.017,-0.012,-0.011
492,-0.018,-0.018,-0.018,-0.017,-0.012,-0.012
494,-0.018,-0.018,-0.017,-0.017,-0.012,-0.011
496,-0.017,-0.018,-0.017,-0.017,-0.012,-0.011
498,-0.017,-0.018,-0.017,-0.017,-0.012,-0.011
500,-0.017,-0.018,-0.017,-0.017,-0.012,-0.011
